pivot,derivation,similarity,category,affix
dąb,dębik,0.7501639,N:N,-ik
wiąz,wiązówka,0.7250295,N:N,-ówka
złość,złośliwy,0.9014116,N:ADJ,-liwy
ograniczyć,ograniczać,0.95466626,V:V,-ać
gniazdo,gniazdko,0.731035,N:N,-ko
gryźć,gryzoń,0.6255062,V:N,-oń
budzić,budzik,0.81461906,V:N,-ik
puszcza,puszczyk,0.6151249,N:N,-yk
obiecać,obiecywać,0.68097526,V:V,-ywać
wrócić,wracać,0.95398235,V:V,-ać
smak,smakować,0.75338995,N:V,-ować
tęcza,tęczówka,0.8489806,N:N,-ówka
róg,rogówka,0.62674373,N:N,-ówka
żyć,przeżyć,0.88245934,V:V,prze-
razić,obrazić,0.76983815,V:V,ob-
jąć,wziąć,0.5951405,V:V,wz-
buchać,wybuchać,0.7102158,V:V,wy-
dychać,oddychać,0.6890916,V:V,od-
mordować,zamordować,0.8856006,V:V,za-
maska,maskować,0.6605424,N:V,-ować
marny,marnować,0.66514426,ADJ:V,-ować
dać,dodać,0.82969683,V:V,do-
dawać,dodawać,0.8803668,V:V,do-
soczewica,soczewka,0.91761297,N:N,-ka
wosk,woskówka,0.8433769,N:N,-ówka
opisać,opisywać,0.6923467,V:V,-ywać
wyspa,półwysep,0.7752607,N:N,pół-
używać,nadużywać,0.65468246,V:V,nad-
trawa,trawnik,0.681435,N:N,-nik
kolej,kolejowy,0.79593545,N:ADJ,-owy
kłamać,kłamca,0.7318628,V:N,-ca
łatwy,łatwość,0.88617516,ADJ:N,-ość
całkowity,całkowicie,0.90909576,ADJ:ADV,-ie
cały,całość,0.7828213,ADJ:N,-ość
słoń,słoniowy,0.7068585,N:ADJ,-owy
użytkować,użytkownik,0.70909035,V:N,-nik
konieczny,koniecznie,0.86845124,ADJ:ADV,-ie
lato,nastolatek,0.7460157,N:N,-ek
elektryczny,elektryczność,0.7307069,ADJ:N,-ość
róg,koziorożec,0.6253038,N:N,-ec
książę,księstwo,0.85541743,N:N,-stwo
pieśń,piosenka,0.886722,N:N,-enka
rudy,rudzik,0.74725395,ADJ:N,-ik
prosić,prośba,0.8542096,V:N,-ba
szachowy,szachownica,0.87115806,ADJ:N,-nica
miecz,mieczyk,0.72571963,N:N,-yk
stać,wstać,0.806731,V:V,w-
straż,strażnik,0.8413637,N:N,-nik
puch,puszysty,0.47809118,N:ADJ,-ysty
jajeczny,jajecznica,0.8650309,ADJ:N,-ica
atrakcja,atrakcyjny,0.7293799,N:ADJ,-ny
